Transaction ID,Date,Customer ID,Gender,Age,Product Category,Sub-Category,City,ASM,RSM,Region,Quantity,Price per Unit,Taxable Amount,Profit,Discount,Total Amount
32,04-01-2022,CUST5062,Male,30,Beauty,Creams,Kanpur,Ramash,Vishnu Dixit,North,3,1350,4050,567,11%,3604
683,04-01-2022,CUST683,Male,38,Beauty,Creams,Chennai,Mahesh,Sukhsagar,South,2,984,1968,255,12%,1731
32,04-01-2022,CUST032,Male,30,Beauty,Dry Products,Kanpur,Ramash,Vishnu Dixit,North,3,650,1950,254,12%,1716
683,04-01-2022,CUST683,Male,38,Beauty,Appliance,Chennai,Mahesh,Sukhsagar,South,2,1247,2494,299,13%,2169
32,04-01-2022,CUST032,Male,30,Beauty,Dry Products,Kanpur,Ramash,Vishnu Dixit,North,3,973,2919,350,13%,2539
683,04-01-2022,CUST683,Male,38,Beauty,Dry Products,Chennai,Mahesh,Sukhsagar,South,2,1484,2968,326,14%,2552
231,04-01-2022,CUST5460,Female,23,Clothing,Dupatta,Nagpur,Ganesh,Deepesh Chauhan,West,3,1388,4164,624,10%,3747
231,04-01-2022,CUST231,Female,23,Clothing,Inner Wear,Vizag,Mahesh,Sukhsagar,South,3,763,2289,321,11%,2037
231,04-01-2022,CUST231,Female,23,Clothing,Dupatta,Ernakulam,Mahesh,Sukhsagar,South,3,1472,4416,574,12%,3886
391,05-01-2022,CUST5780,Male,19,Beauty,Dry Products,Ernakulam,Mahesh,Sukhsagar,South,2,1412,2824,423,10%,2541
391,05-01-2022,CUST391,Male,19,Beauty,Dry Products,Ernakulam,Mahesh,Sukhsagar,South,2,636,1272,178,11%,1132
391,05-01-2022,CUST391,Male,19,Beauty,Creams,Ernakulam,Mahesh,Sukhsagar,South,2,1476,2952,383,12%,2597
367,05-01-2022,CUST5732,Female,57,Electronics,Home Aplience,Kanpur,Ramash,Vishnu Dixit,North,1,1053,1053,95,16%,884
432,05-01-2022,CUST5862,Female,60,Electronics,Home Aplience,Indore,Jansagar,Deepesh Chauhan,West,2,1096,2192,306,11%,1950
367,05-01-2022,CUST367,Female,57,Electronics,Home Aplience,Delhi,Sanjay,Vishnu Dixit,North,1,600,600,48,17%,498
432,05-01-2022,CUST432,Female,60,Electronics,Home Aplience,Vizag,Mahesh,Sukhsagar,South,2,666,1332,173,12%,1172
367,05-01-2022,CUST367,Female,57,Electronics,Home Aplience,Latur,Rakesh,Deepesh Chauhan,West,1,627,627,44,18%,514
432,05-01-2022,CUST432,Female,60,Electronics,Home Aplience,Bhopal,Jansagar,Deepesh Chauhan,West,2,1285,2570,308,13%,2235
845,06-01-2022,CUST845,Male,54,Clothing,Dupatta,Chennai,Mahesh,Sukhsagar,South,1,788,788,86,14%,677
845,06-01-2022,CUST845,Male,54,Clothing,Inner Wear,Indore,Jansagar,Deepesh Chauhan,West,1,1411,1411,141,15%,1199
845,06-01-2022,CUST845,Male,54,Clothing,Dupatta,Kolkata,Debojit,Ajit yadav,East,1,539,539,48,16%,452
150,06-01-2022,CUST5298,Female,58,Electronics,Office Equipements,Lucknow,Ramash,Vishnu Dixit,North,4,1395,5580,334,19%,4519
150,06-01-2022,CUST150,Female,58,Electronics,Office Equipements,Mumbai,Ganesh,Deepesh Chauhan,West,4,1317,5268,790,10%,4741
150,06-01-2022,CUST150,Female,58,Electronics,Office Equipements,Kolkata,Debojit,Ajit yadav,East,4,1303,5212,729,11%,4638
797,07-01-2022,CUST797,Male,40,Clothing,Inner Wear,Bhopal,Jansagar,Deepesh Chauhan,West,3,1494,4482,403,16%,3764
797,07-01-2022,CUST797,Male,40,Clothing,Dupatta,Chennai,Mahesh,Sukhsagar,South,3,1375,4125,330,17%,3423
797,07-01-2022,CUST797,Male,40,Clothing,Inner Wear,Indore,Jansagar,Deepesh Chauhan,West,3,955,2865,201,18%,2349
921,07-01-2022,CUST921,Male,51,Electronics,Phone,Kanpur,Ramash,Vishnu Dixit,North,3,877,2631,394,10%,2367
921,07-01-2022,CUST921,Male,51,Electronics,Phone,Delhi,Sanjay,Vishnu Dixit,North,3,560,1680,235,11%,1495
921,07-01-2022,CUST921,Male,51,Electronics,Phone,Latur,Rakesh,Deepesh Chauhan,West,3,624,1872,243,12%,1647
291,08-01-2022,CUST5580,Male,60,Clothing,Kurti,Kolkata,Debojit,Ajit yadav,East,2,893,1786,268,10%,1607
291,08-01-2022,CUST291,Male,60,Clothing,Saree,Latur,Rakesh,Deepesh Chauhan,West,2,1065,2130,298,11%,1895
291,08-01-2022,CUST291,Male,60,Clothing,Kurti,Lucknow,Ramash,Vishnu Dixit,North,2,686,1372,178,12%,1207
907,08-01-2022,CUST907,Female,45,Electronics,Beauty Products,Delhi,Sanjay,Vishnu Dixit,North,1,1369,1369,123,16%,1149
907,08-01-2022,CUST907,Female,45,Electronics,Beauty Products,Latur,Rakesh,Deepesh Chauhan,West,1,1056,1056,84,17%,876
907,08-01-2022,CUST907,Female,45,Electronics,Beauty Products,Tripur,Mahesh,Sukhsagar,South,1,1195,1195,83,18%,979
860,09-01-2022,CUST860,Male,63,Clothing,Inner Wear,Kanpur,Ramash,Vishnu Dixit,North,4,1071,4284,257,19%,3470
860,09-01-2022,CUST860,Male,63,Clothing,Dupatta,Nagpur,Ganesh,Deepesh Chauhan,West,4,875,3500,525,10%,3150
860,09-01-2022,CUST860,Male,63,Clothing,Inner Wear,Vizag,Mahesh,Sukhsagar,South,4,774,3096,433,11%,2755
734,10-01-2022,CUST734,Female,27,Clothing,Saree,Indore,Jansagar,Deepesh Chauhan,West,1,819,819,98,13%,712
734,10-01-2022,CUST734,Female,27,Clothing,Kurti,Kolkata,Debojit,Ajit yadav,East,1,1166,1166,128,14%,1002
734,10-01-2022,CUST734,Female,27,Clothing,Saree,Latur,Rakesh,Deepesh Chauhan,West,1,675,675,67,15%,573
184,10-01-2022,CUST5366,Male,31,Electronics,Home Aplience,Indore,Jansagar,Deepesh Chauhan,West,4,1134,4536,544,13%,3946
184,10-01-2022,CUST184,Male,31,Electronics,Home Aplience,Vizag,Mahesh,Sukhsagar,South,4,1079,4316,474,14%,3711
184,10-01-2022,CUST184,Male,31,Electronics,Home Aplience,Bhopal,Jansagar,Deepesh Chauhan,West,4,670,2680,268,15%,2278
225,11-01-2022,CUST5448,Female,57,Beauty,Creams,Bhopal,Jansagar,Deepesh Chauhan,West,4,588,2352,258,14%,2022
679,11-01-2022,CUST679,Female,18,Beauty,Dry Products,Jaipur,Ankur,Vishnu Dixit,North,3,1471,4413,309,18%,3618
225,11-01-2022,CUST225,Female,57,Beauty,Dry Products,Bhopal,Jansagar,Deepesh Chauhan,West,4,1317,5268,526,15%,4477
679,11-01-2022,CUST679,Female,18,Beauty,Oils,Jaipur,Ankur,Vishnu Dixit,North,3,665,1995,119,19%,1615
225,11-01-2022,CUST225,Female,57,Beauty,Oils,Bhopal,Jansagar,Deepesh Chauhan,West,4,1247,4988,448,16%,4189
679,11-01-2022,CUST679,Female,18,Beauty,Creams,Jaipur,Ankur,Vishnu Dixit,North,3,1323,3969,596,10%,3572
746,11-01-2022,CUST746,Female,33,Clothing,Inner Wear,Vizag,Mahesh,Sukhsagar,South,3,1244,3732,373,15%,3172
746,11-01-2022,CUST746,Female,33,Clothing,Dupatta,Ernakulam,Mahesh,Sukhsagar,South,3,822,2466,222,16%,2071
746,11-01-2022,CUST746,Female,33,Clothing,Inner Wear,Tripur,Mahesh,Sukhsagar,South,3,527,1581,127,17%,1312
484,13-01-2022,CUST5966,Female,19,Clothing,Top,Mumbai,Ganesh,Deepesh Chauhan,West,4,651,2604,312,13%,2265
484,13-01-2022,CUST484,Female,19,Clothing,Shirt,Delhi,Sanjay,Vishnu Dixit,North,4,1094,4376,481,14%,3763
484,13-01-2022,CUST484,Female,19,Clothing,Dupatta,Jaipur,Ankur,Vishnu Dixit,North,4,1336,5344,534,15%,4542
3,13-01-2022,CUST5004,Male,50,Electronics,Home Aplience,Delhi,Sanjay,Vishnu Dixit,North,1,1350,1350,176,12%,1188
464,13-01-2022,CUST5926,Male,38,Electronics,Coumputers,Jaipur,Ankur,Vishnu Dixit,North,2,1401,2802,336,13%,2437
591,13-01-2022,CUST591,Male,53,Electronics,Phone,Delhi,Sanjay,Vishnu Dixit,North,4,1270,5080,762,10%,4572
3,13-01-2022,CUST003,Male,50,Electronics,Home Aplience,Latur,Rakesh,Deepesh Chauhan,West,1,1021,1021,123,13%,888
464,13-01-2022,CUST464,Male,38,Electronics,Coumputers,Lucknow,Ramash,Vishnu Dixit,North,2,750,1500,165,14%,1290
591,13-01-2022,CUST591,Male,53,Electronics,Phone,Latur,Rakesh,Deepesh Chauhan,West,4,1182,4728,661,11%,4207
3,13-01-2022,CUST003,Male,50,Electronics,Home Aplience,Tripur,Mahesh,Sukhsagar,South,1,1457,1457,161,14%,1253
464,13-01-2022,CUST464,Male,38,Electronics,Coumputers,Mumbai,Ganesh,Deepesh Chauhan,West,2,1030,2060,206,15%,1751
591,13-01-2022,CUST591,Male,53,Electronics,Phone,Tripur,Mahesh,Sukhsagar,South,4,730,2920,379,12%,2569
21,14-01-2022,CUST5040,Female,50,Beauty,Appliance,Chennai,Mahesh,Sukhsagar,South,1,589,589,89,10%,530
708,14-01-2022,CUST708,Female,43,Beauty,Appliance,Latur,Rakesh,Deepesh Chauhan,West,3,998,2994,240,17%,2485
713,14-01-2022,CUST713,Male,34,Beauty,Oils,Kanpur,Ramash,Vishnu Dixit,North,3,926,2778,361,12%,2444
768,14-01-2022,CUST768,Female,24,Beauty,Oils,Vizag,Mahesh,Sukhsagar,South,3,1331,3993,320,17%,3314
21,14-01-2022,CUST021,Female,50,Beauty,Oils,Chennai,Mahesh,Sukhsagar,South,1,1103,1103,154,11%,981
708,14-01-2022,CUST708,Female,43,Beauty,Dry Products,Latur,Rakesh,Deepesh Chauhan,West,3,1450,4350,305,18%,3567
713,14-01-2022,CUST713,Male,34,Beauty,Creams,Kanpur,Ramash,Vishnu Dixit,North,3,580,1740,208,13%,1513
768,14-01-2022,CUST768,Female,24,Beauty,Creams,Vizag,Mahesh,Sukhsagar,South,3,1102,3306,231,18%,2710
21,14-01-2022,CUST021,Female,50,Beauty,Oils,Chennai,Mahesh,Sukhsagar,South,1,1417,1417,184,12%,1246
708,14-01-2022,CUST708,Female,43,Beauty,Oils,Latur,Rakesh,Deepesh Chauhan,West,3,1378,4134,248,19%,3348
713,14-01-2022,CUST713,Male,34,Beauty,Appliance,Kanpur,Ramash,Vishnu Dixit,North,3,561,1683,185,14%,1447
768,14-01-2022,CUST768,Female,24,Beauty,Appliance,Vizag,Mahesh,Sukhsagar,South,3,959,2877,173,19%,2330
499,15-01-2022,CUST5996,Male,46,Beauty,Appliance,Tripur,Mahesh,Sukhsagar,South,2,1266,2532,177,18%,2076
499,15-01-2022,CUST499,Male,46,Beauty,Appliance,Tripur,Mahesh,Sukhsagar,South,2,1205,2410,145,19%,1952
499,15-01-2022,CUST499,Male,46,Beauty,Dry Products,Tripur,Mahesh,Sukhsagar,South,2,1026,2052,307,10%,1846
697,15-01-2022,CUST697,Male,53,Clothing,Kurti,Chennai,Mahesh,Sukhsagar,South,1,768,768,69,16%,645
697,15-01-2022,CUST697,Male,53,Clothing,Saree,Indore,Jansagar,Deepesh Chauhan,West,1,953,953,76,17%,790
697,15-01-2022,CUST697,Male,53,Clothing,Kurti,Kolkata,Debojit,Ajit yadav,East,1,604,604,42,18%,495
831,15-01-2022,CUST831,Male,27,Electronics,Coumputers,Nagpur,Ganesh,Deepesh Chauhan,West,4,506,2024,303,10%,1821
831,15-01-2022,CUST831,Male,27,Electronics,Coumputers,Jaipur,Ankur,Vishnu Dixit,North,4,1113,4452,623,11%,3962
831,15-01-2022,CUST831,Male,27,Electronics,Coumputers,Lucknow,Ramash,Vishnu Dixit,North,4,1401,5604,728,12%,4931
743,16-01-2022,CUST743,Female,34,Beauty,Appliance,Indore,Jansagar,Deepesh Chauhan,West,4,778,3112,404,12%,2738
743,16-01-2022,CUST743,Female,34,Beauty,Dry Products,Indore,Jansagar,Deepesh Chauhan,West,4,1428,5712,685,13%,4969
743,16-01-2022,CUST743,Female,34,Beauty,Oils,Indore,Jansagar,Deepesh Chauhan,West,4,1301,5204,572,14%,4475
15,16-01-2022,CUST5028,Female,42,Electronics,Phone,Indore,Jansagar,Deepesh Chauhan,West,4,1339,5356,589,14%,4606
15,16-01-2022,CUST015,Female,42,Electronics,Phone,Vizag,Mahesh,Sukhsagar,South,4,502,2008,200,15%,1706
15,16-01-2022,CUST015,Female,42,Electronics,Phone,Bhopal,Jansagar,Deepesh Chauhan,West,4,843,3372,303,16%,2832
238,17-01-2022,CUST5474,Female,39,Beauty,Dry Products,Kanpur,Ramash,Vishnu Dixit,North,1,1036,1036,82,17%,859
238,17-01-2022,CUST238,Female,39,Beauty,Oils,Kanpur,Ramash,Vishnu Dixit,North,1,771,771,54,18%,632
238,17-01-2022,CUST238,Female,39,Beauty,Appliance,Kanpur,Ramash,Vishnu Dixit,North,1,895,895,53,19%,724
14,17-01-2022,CUST5026,Male,64,Clothing,Caps,Delhi,Sanjay,Vishnu Dixit,North,4,1314,5256,630,13%,4572
103,17-01-2022,CUST5204,Female,59,Clothing,Top,Mumbai,Ganesh,Deepesh Chauhan,West,1,1230,1230,160,12%,1082
986,17-01-2022,CUST986,Female,49,Clothing,Shirt,Indore,Jansagar,Deepesh Chauhan,West,2,747,1494,149,15%,1269
14,17-01-2022,CUST014,Male,64,Clothing,Kurti,Jaipur,Ankur,Vishnu Dixit,North,4,752,3008,330,14%,2586
103,17-01-2022,CUST103,Female,59,Clothing,Caps,Delhi,Sanjay,Vishnu Dixit,North,1,1376,1376,165,13%,1197
986,17-01-2022,CUST986,Female,49,Clothing,Top,Kolkata,Debojit,Ajit yadav,East,2,979,1958,176,16%,1644
14,17-01-2022,CUST014,Male,64,Clothing,Saree,Bhopal,Jansagar,Deepesh Chauhan,West,4,1318,5272,527,15%,4481
103,17-01-2022,CUST103,Female,59,Clothing,Top,Jaipur,Ankur,Vishnu Dixit,North,1,663,663,73,14%,570
986,17-01-2022,CUST986,Female,49,Clothing,Inner Wear,Latur,Rakesh,Deepesh Chauhan,West,2,821,1642,131,17%,1362
438,19-01-2022,CUST5874,Female,42,Clothing,Dupatta,Nagpur,Ganesh,Deepesh Chauhan,West,1,615,615,49,17%,510
438,19-01-2022,CUST438,Female,42,Clothing,Inner Wear,Vizag,Mahesh,Sukhsagar,South,1,625,625,44,18%,512
438,19-01-2022,CUST438,Female,42,Clothing,Dupatta,Ernakulam,Mahesh,Sukhsagar,South,1,643,643,38,19%,520
505,20-01-2022,CUST6008,Male,24,Beauty,Appliance,Bhopal,Jansagar,Deepesh Chauhan,West,1,743,743,81,14%,638
505,20-01-2022,CUST505,Male,24,Beauty,Dry Products,Bhopal,Jansagar,Deepesh Chauhan,West,1,742,742,74,15%,630
505,20-01-2022,CUST505,Male,24,Beauty,Oils,Bhopal,Jansagar,Deepesh Chauhan,West,1,793,793,72,16%,666
475,20-01-2022,CUST5948,Male,26,Clothing,Tshirt,Lucknow,Ramash,Vishnu Dixit,North,3,1443,4329,476,14%,3722
475,20-01-2022,CUST475,Male,26,Clothing,Pants,Kanpur,Ramash,Vishnu Dixit,North,3,525,1575,157,15%,1338
475,20-01-2022,CUST475,Male,26,Clothing,Tshirt,Nagpur,Ganesh,Deepesh Chauhan,West,3,855,2565,231,16%,2154
344,21-01-2022,CUST5686,Female,42,Beauty,Appliance,Vizag,Mahesh,Sukhsagar,South,1,1325,1325,159,13%,1152
448,21-01-2022,CUST5894,Female,54,Beauty,Creams,Ernakulam,Mahesh,Sukhsagar,South,2,953,1906,152,17%,1581
344,21-01-2022,CUST344,Female,42,Beauty,Appliance,Vizag,Mahesh,Sukhsagar,South,1,1022,1022,112,14%,878
448,21-01-2022,CUST448,Female,54,Beauty,Creams,Ernakulam,Mahesh,Sukhsagar,South,2,1105,2210,155,18%,1812
344,21-01-2022,CUST344,Female,42,Beauty,Oils,Vizag,Mahesh,Sukhsagar,South,1,1074,1074,107,15%,912
448,21-01-2022,CUST448,Female,54,Beauty,Dry Products,Ernakulam,Mahesh,Sukhsagar,South,2,534,1068,64,19%,865
742,21-01-2022,CUST742,Female,38,Electronics,Coumputers,Lucknow,Ramash,Vishnu Dixit,North,4,608,2432,340,11%,2164
742,21-01-2022,CUST742,Female,38,Electronics,Coumputers,Mumbai,Ganesh,Deepesh Chauhan,West,4,988,3952,513,12%,3477
742,21-01-2022,CUST742,Female,38,Electronics,Coumputers,Kolkata,Debojit,Ajit yadav,East,4,1131,4524,542,13%,3935
445,22-01-2022,CUST5888,Female,53,Electronics,Gadgets,Lucknow,Ramash,Vishnu Dixit,North,1,1245,1245,137,14%,1070
787,22-01-2022,CUST787,Male,41,Electronics,Phone,Vizag,Mahesh,Sukhsagar,South,1,719,719,64,16%,603
445,22-01-2022,CUST445,Female,53,Electronics,Gadgets,Mumbai,Ganesh,Deepesh Chauhan,West,1,806,806,81,15%,685
787,22-01-2022,CUST787,Male,41,Electronics,Phone,Bhopal,Jansagar,Deepesh Chauhan,West,1,549,549,44,17%,455
445,22-01-2022,CUST445,Female,53,Electronics,Gadgets,Kolkata,Debojit,Ajit yadav,East,1,769,769,69,16%,645
787,22-01-2022,CUST787,Male,41,Electronics,Phone,Kanpur,Ramash,Vishnu Dixit,North,1,1467,1467,102,18%,1202
420,23-01-2022,CUST5838,Female,22,Clothing,Inner Wear,Indore,Jansagar,Deepesh Chauhan,West,4,1215,4860,291,19%,3936
420,23-01-2022,CUST420,Female,22,Clothing,Dupatta,Kolkata,Debojit,Ajit yadav,East,4,1168,4672,700,10%,4204
420,23-01-2022,CUST420,Female,22,Clothing,Inner Wear,Latur,Rakesh,Deepesh Chauhan,West,4,771,3084,431,11%,2744
49,23-01-2022,CUST5096,Female,54,Electronics,Office Equipements,Mumbai,Ganesh,Deepesh Chauhan,West,2,893,1786,125,18%,1464
519,23-01-2022,CUST6036,Female,36,Electronics,Coumputers,Kolkata,Debojit,Ajit yadav,East,4,622,2488,174,18%,2040
49,23-01-2022,CUST049,Female,54,Electronics,Office Equipements,Kolkata,Debojit,Ajit yadav,East,2,1194,2388,143,19%,1934
519,23-01-2022,CUST519,Female,36,Electronics,Coumputers,Ernakulam,Mahesh,Sukhsagar,South,4,977,3908,234,19%,3165
49,23-01-2022,CUST049,Female,54,Electronics,Office Equipements,Ernakulam,Mahesh,Sukhsagar,South,2,1012,2024,303,10%,1821
519,23-01-2022,CUST519,Female,36,Electronics,Coumputers,Chennai,Mahesh,Sukhsagar,South,4,958,3832,574,10%,3448
592,24-01-2022,CUST592,Female,46,Beauty,Creams,Chennai,Mahesh,Sukhsagar,South,4,592,2368,331,11%,2107
912,24-01-2022,CUST912,Male,51,Beauty,Appliance,Vizag,Mahesh,Sukhsagar,South,3,648,1944,272,11%,1730
592,24-01-2022,CUST592,Female,46,Beauty,Appliance,Chennai,Mahesh,Sukhsagar,South,4,931,3724,484,12%,3277
912,24-01-2022,CUST912,Male,51,Beauty,Dry Products,Vizag,Mahesh,Sukhsagar,South,3,1050,3150,410,12%,2772
592,24-01-2022,CUST592,Female,46,Beauty,Dry Products,Chennai,Mahesh,Sukhsagar,South,4,1436,5744,689,13%,4997
912,24-01-2022,CUST912,Male,51,Beauty,Oils,Vizag,Mahesh,Sukhsagar,South,3,1108,3324,398,13%,2891
64,24-01-2022,CUST5126,Male,49,Clothing,Top,Chennai,Mahesh,Sukhsagar,South,4,1473,5892,707,13%,5126
64,24-01-2022,CUST064,Male,49,Clothing,Caps,Indore,Jansagar,Deepesh Chauhan,West,4,1485,5940,653,14%,5108
64,24-01-2022,CUST064,Male,49,Clothing,Top,Kolkata,Debojit,Ajit yadav,East,4,735,2940,294,15%,2499
134,25-01-2022,CUST5266,Male,49,Electronics,Office Equipements,Jaipur,Ankur,Vishnu Dixit,North,1,893,893,107,13%,776
134,25-01-2022,CUST134,Male,49,Electronics,Office Equipements,Lucknow,Ramash,Vishnu Dixit,North,1,1184,1184,130,14%,1018
134,25-01-2022,CUST134,Male,49,Electronics,Office Equipements,Mumbai,Ganesh,Deepesh Chauhan,West,1,1129,1129,113,15%,959
323,26-01-2022,CUST5644,Female,29,Beauty,Oils,Indore,Jansagar,Deepesh Chauhan,West,3,1342,4026,523,12%,3542
618,26-01-2022,CUST618,Female,27,Beauty,Creams,Ernakulam,Mahesh,Sukhsagar,South,1,1083,1083,86,17%,898
720,26-01-2022,CUST720,Female,56,Beauty,Creams,Ernakulam,Mahesh,Sukhsagar,South,3,893,2679,160,19%,2169
323,26-01-2022,CUST323,Female,29,Beauty,Oils,Indore,Jansagar,Deepesh Chauhan,West,3,1301,3903,468,13%,3395
618,26-01-2022,CUST618,Female,27,Beauty,Appliance,Ernakulam,Mahesh,Sukhsagar,South,1,1490,1490,104,18%,1221
720,26-01-2022,CUST720,Female,56,Beauty,Appliance,Ernakulam,Mahesh,Sukhsagar,South,3,702,2106,316,10%,1895
323,26-01-2022,CUST323,Female,29,Beauty,Appliance,Indore,Jansagar,Deepesh Chauhan,West,3,559,1677,185,14%,1442
618,26-01-2022,CUST618,Female,27,Beauty,Dry Products,Ernakulam,Mahesh,Sukhsagar,South,1,1038,1038,62,19%,840
720,26-01-2022,CUST720,Female,56,Beauty,Dry Products,Ernakulam,Mahesh,Sukhsagar,South,3,801,2403,336,11%,2138
288,26-01-2022,CUST5574,Male,28,Clothing,Shirt,Indore,Jansagar,Deepesh Chauhan,West,4,946,3784,302,17%,3140
288,26-01-2022,CUST288,Male,28,Clothing,Top,Kolkata,Debojit,Ajit yadav,East,4,1080,4320,302,18%,3542
288,26-01-2022,CUST288,Male,28,Clothing,Shirt,Latur,Rakesh,Deepesh Chauhan,West,4,1100,4400,264,19%,3564
929,27-01-2022,CUST929,Female,23,Beauty,Oils,Bhopal,Jansagar,Deepesh Chauhan,West,3,1351,4053,284,18%,3323
929,27-01-2022,CUST929,Female,23,Beauty,Creams,Bhopal,Jansagar,Deepesh Chauhan,West,3,1210,3630,218,19%,2940
929,27-01-2022,CUST929,Female,23,Beauty,Appliance,Bhopal,Jansagar,Deepesh Chauhan,West,3,514,1542,231,10%,1387
415,27-01-2022,CUST5828,Male,53,Clothing,Shirt,Bhopal,Jansagar,Deepesh Chauhan,West,2,1178,2356,259,14%,2026
736,27-01-2022,CUST736,Male,29,Clothing,Caps,Latur,Rakesh,Deepesh Chauhan,West,4,547,2188,218,15%,1859
415,27-01-2022,CUST415,Male,53,Clothing,Top,Chennai,Mahesh,Sukhsagar,South,2,988,1976,197,15%,1679
736,27-01-2022,CUST736,Male,29,Clothing,Joggers,Lucknow,Ramash,Vishnu Dixit,North,4,564,2256,203,16%,1895
415,27-01-2022,CUST415,Male,53,Clothing,Shirt,Indore,Jansagar,Deepesh Chauhan,West,2,922,1844,165,16%,1548
736,27-01-2022,CUST736,Male,29,Clothing,Caps,Kanpur,Ramash,Vishnu Dixit,North,4,1265,5060,404,17%,4199
264,28-01-2022,CUST5526,Male,47,Clothing,Tshirt,Lucknow,Ramash,Vishnu Dixit,North,3,682,2046,246,13%,1780
264,28-01-2022,CUST264,Male,47,Clothing,Pants,Kanpur,Ramash,Vishnu Dixit,North,3,1242,3726,410,14%,3204
264,28-01-2022,CUST264,Male,47,Clothing,Tshirt,Nagpur,Ganesh,Deepesh Chauhan,West,3,1461,4383,438,15%,3725
913,28-01-2022,CUST913,Male,29,Electronics,Coumputers,Chennai,Mahesh,Sukhsagar,South,3,1168,3504,455,12%,3083
940,28-01-2022,CUST940,Female,20,Electronics,Phone,Delhi,Sanjay,Vishnu Dixit,North,1,1332,1332,79,19%,1078
913,28-01-2022,CUST913,Male,29,Electronics,Coumputers,Nagpur,Ganesh,Deepesh Chauhan,West,3,1269,3807,457,13%,3312
940,28-01-2022,CUST940,Female,20,Electronics,Phone,Latur,Rakesh,Deepesh Chauhan,West,1,1265,1265,190,10%,1138
913,28-01-2022,CUST913,Male,29,Electronics,Coumputers,Jaipur,Ankur,Vishnu Dixit,North,3,799,2397,264,14%,2061
940,28-01-2022,CUST940,Female,20,Electronics,Phone,Tripur,Mahesh,Sukhsagar,South,1,1498,1498,210,11%,1333
101,29-01-2022,CUST5200,Male,32,Clothing,Pants,Tripur,Mahesh,Sukhsagar,South,2,606,1212,181,10%,1090
